parcel_number,taxable_building,taxable_land,market_value,zip_code
661209100,97480,58920,196400,19114
572261700,117780,67620,225400,19114
572190700,198280,102120,340400,19114
572365724,122470,69630,232100,19114
652124000,78150,62550,208500,19114
572138327,158060,67740,225800,19114
888570982,109200,20800,130000,19114
661251500,96570,58530,195100,19114
652403000,138824,68376,207200,19114
661141700,101260,60540,201800,19114
661289548,146342,62658,209000,19114
572190500,219240,93960,313200,19114
661181600,103990,61710,205700,19114
652272910,212539,100661,353200,19114
572095675,121310,51990,173300,19114
661110500,90830,56070,186900,19114
884226000,5886854,3005346,8892200,19114
661320015,102310,60990,203300,19114
572301200,137970,59130,197100,19114
652244600,170000,90000,300000,19114
652430800,0,23600,23600,19114
572142700,106720,62880,209600,19114
652425405,0,0,277700,19114
652155110,184310,78990,263300,19114
572249300,96150,58350,194500,19114
572180800,135811,58189,194000,19114
661114300,109520,64080,213600,19114
661020200,110080,64320,214400,19114
572286400,121070,69030,230100,19114
572180400,135811,58189,194000,19114
661201600,102240,60960,203200,19114
572154634,97060,58740,195800,19114
652132800,155020,83580,278600,19114
661287001,174160,74640,248800,19114
661274600,94050,57450,191500,19114
572166536,135100,57900,193000,19114
888650268,125120,41280,206400,19114
652159500,136540,75660,252200,19114
572300405,97760,59040,196800,19114
572094714,79070,51030,170100,19114
661289535,146342,62658,209000,19114
652478003,98530,59370,197900,19114
572363100,154910,66390,221300,19114
572142700,106720,62880,209600,19114
661131600,102170,60930,203100,19114
888650386,67920,26980,134900,19114
572247000,125500,70900,236400,19114
661221200,98600,59400,198000,19114
661244200,97554,58846,196400,19114
572243400,142800,61200,204000,19114
661187600,93350,57150,190500,19114
572163117,95380,58020,193400,19114
572125454,96150,58350,194500,19114
661075500,178920,76680,255600,19114
652176800,196414,101186,337600,19114
652185600,160760,86040,286800,19114
572138600,147000,63000,210000,19114
661161900,85650,53850,179500,19114
661279100,110430,64470,214900,19114
661150000,140096,59904,200000,19114
661235000,98040,59160,197200,19114
572095671,120890,51810,172700,19114
652159100,155160,83640,278800,19114
661014300,125662,70938,236600,19114
888650683,60720,25180,125900,19114
888580424,94537,19363,113900,19115
632304800,173530,74370,247900,19115
581452200,108680,63720,212400,19115
632297200,86560,54240,180800,19115
632200222,179450,94050,313500,19115
581131400,153690,83010,276700,19115
562449900,103570,61530,205100,19115
581197904,186590,97110,323700,19115
888561400,75785,23715,139500,19115
581088000,116100,66900,223000,19115
581142300,161040,86160,287200,19115
632242100,132130,73770,245900,19115
581150900,119810,68490,228300,19115
888560582,141500,21100,162600,19115
581346200,97550,58950,196500,19115
888580941,57920,14480,72400,19115
581061200,114070,66030,220100,19115
632297600,124810,53490,178300,19115
581189518,307270,148830,496100,19115
581042900,179310,93990,313300,19115
632235900,120650,68850,229500,19115
632283000,184910,96390,321300,19115
581189548,307270,148830,496100,19115
562432800,145740,62460,208200,19115
562442900,186227,90173,316400,19115
562283300,90830,56070,186900,19115
562292400,116240,66960,223200,19115
882553650,252080,63020,315100,19115
581401613,97550,58950,196500,19115
562384238,0,17000,17000,19115
562434100,106440,62760,209200,19115
882875665,202440,809760,1012200,19115
581470500,101260,60540,201800,19115
581461300,116100,66900,223000,19115
581153800,114630,66270,220900,19115
562445205,238810,95190,334000,19115
581398514,141260,60540,201800,19115
888581814,107100,30100,177200,19115
581363800,147613,63187,210800,19115
581278200,161040,86160,287200,19115
581005200,193940,100260,334200,19115
632094100,125410,70890,236300,19115
581054700,123590,70110,233700,19115
581157000,108680,63720,212400,19115
888630021,39305,13995,93300,19115
581398517,141260,60540,201800,19115
581292100,161040,86160,287200,19115
883087560,0,0,533600,19115
632185315,241220,103380,344600,19115
581370800,139130,76770,255900,19115
581394200,137550,58950,196500,19115
888560855,127200,19000,146200,19115
632081000,189840,81360,271200,19115
632126300,103570,61530,205100,19115
882562400,133070,57030,190100,19115
562307300,96850,58650,195500,19115
581067300,131010,73290,244300,19115
888560262,141500,21100,162600,19115
581463800,141260,60540,201800,19115
632188610,0,0,150000,19115
581393600,97550,58950,196500,19115
888582556,76700,23900,140600,19115
632298800,84810,53490,178300,19115
888560737,87200,19000,146200,19115
632229800,148300,80700,269000,19115
632298500,124810,53490,178300,19115
888560367,127200,19000,146200,19115
581249400,142770,78330,261100,19115
888560375,127200,19000,146200,19115
581170600,156030,66870,222900,19115
581165100,112390,65310,217700,19115
888560586,141500,21100,162600,19115
562282800,133910,57390,191300,19115
581314500,139130,76770,255900,19115
581163200,108680,63720,212400,19115
632303700,122120,69480,231600,19115
581047600,124500,70500,235000,19115
632156400,111340,64860,216200,19115
581444600,106160,62640,208800,19115
888561544,99680,34920,174600,19115
581120000,145360,79440,264800,19115
632157900,115050,66450,221500,19115
581200900,179310,93990,313300,19115
888580408,97700,20000,117700,19115
581463100,116100,66900,223000,19115
581146500,119810,68490,228300,19115
581328000,124500,70500,235000,19115
632138000,135630,75270,250900,19115
581255620,214001,101099,355100,19115
632301700,155440,83760,279200,19115
888560374,105029,21671,166700,19115
632074800,192274,99426,331700,19115
632072500,175460,92340,307800,19115
581470100,141260,60540,201800,19115
632212400,179940,94260,314200,19115
882971835,218640,54660,273300,19115
581486614,152390,65310,217700,19115
632311132,187492,80308,267800,19115
581165800,112390,65310,217700,19115
581432200,108680,63720,212400,19115
582482000,100560,60240,200800,19116
582413900,121280,69120,230400,19116
582165900,161000,69000,230000,19116
582480500,143080,61320,204400,19116
583009990,210751,99949,350700,19116
583001500,118021,67679,225700,19116
583173900,107840,63360,211200,19116
582521382,150920,64680,215600,19116
582118200,156240,66960,223200,19116
582346500,186660,97140,323800,19116
582561000,162960,69840,232800,19116
583011763,236390,101310,337700,19116
582155300,126600,71400,238000,19116
582174000,99370,59730,199100,19116
888581551,39200,19800,99000,19116
884237628,1012085,554615,1566700,19116
582110400,151410,64890,216300,19116
888581559,79200,19800,99000,19116
582380600,175490,75210,250700,19116
582521396,99510,59790,199300,19116
582284200,135140,75060,250200,19116
583005000,168840,72360,241200,19116
582015200,142940,61260,204200,19116
582470500,93350,57150,190500,19116
582546600,144060,61740,205800,19116
888581642,49806,18394,108200,19116
583052600,196460,101340,337800,19116
582222700,119040,68160,227200,19116
582188400,97550,58950,196500,19116
583111682,193270,82830,276100,19116
888582708,55035,19465,114500,19116
583118254,166670,71430,238100,19116
582396000,190610,81690,272300,19116
582222700,119040,68160,227200,19116
582150700,182840,78360,261200,19116
582318301,113720,65880,219600,19116
582294900,135000,75000,250000,19116
582014600,102940,61260,204200,19116
888581585,62600,15600,78200,19116
582426907,151830,65070,216900,19116
583065700,159040,68160,227200,19116
888583026,95035,19465,114500,19116
583162200,144310,78990,263300,19116
582234900,168000,72000,240000,19116
582588775,96640,58560,195200,19116
583165570,196000,84000,280000,19116
888581692,89806,18394,108200,19116
882071000,3097200,774300,3871500,19116
582353600,213430,91470,304900,19116
582557200,122470,69630,232100,19116
582374008,133320,74280,247600,19116
882572945,166800,41700,208500,19116
582559800,212030,90870,302900,19116
583144600,217770,93330,311100,19116
582421511,135280,75120,250400,19116
583128500,205800,88200,294000,19116
582062800,151870,82230,274100,19116
582591900,119810,68490,228300,19116
583016900,146690,80010,266700,19116
582517700,150640,64560,215200,19116
583144400,163140,87060,290200,19116
582233500,134160,74640,248800,19116
583109432,181480,94920,316400,19116
582510800,142420,78180,260600,19116
582403700,172640,82560,275200,19116
583165574,156000,84000,280000,19116
582173600,135240,57960,193200,19116
582474400,143190,78510,261700,19116
582106300,118130,67770,225900,19116
583165110,193940,100260,334200,19116
583011300,185330,96570,321900,19116
583042600,204890,87810,292700,19116
582363700,0,0,200000,19116
888582281,33704,15096,88800,19116
582110400,151410,64890,216300,19116
888581929,117777,24123,141900,19116
582295400,135980,75420,251400,19116
582470400,133350,57150,190500,19116
583008600,186593,97007,323600,19116
583154900,194080,100320,334400,19116
583261043,287028,76272,363300,19116
583240056,0,70319,334600,19116
582513500,173810,74490,248300,19116
583123500,119810,68490,228300,19116
582312100,165480,70920,236400,19116
582042300,97690,59010,196700,19116
888582114,117777,24123,141900,19116
583011400,182390,95310,317700,19116
583197500,153440,65760,219200,19116
583270058,0,81900,390000,19116
583133501,154040,83160,277200,19116
583165547,196000,84000,280000,19116
582200300,169960,72840,242800,19116
583054720,223200,112800,376000,19116
582473900,127720,71880,239600,19116
582282300,143680,78720,262400,19116
